Date de création	Type	Catégorie	Équipe	Produit	Ligne	Famille	Défaut	Qte défaut	Phase d'origine	Phase de détection
2025-03-21	Scrap	process	A Midi	PPC GEN2	GEN2 Réversible	GEN2 REVERSIBLE	Boitier cassé	1	test electrique et controle caméra	controle finale GEN2 REV
2025-03-21	Scrap	process	A Midi	PPC GEN2	GEN2 Réversible	GEN2 REVERSIBLE	Muret cassé	1	test electrique et controle caméra	controle finale GEN2 REV
2025-03-21	Scrap	reglage	A Midi	ligne 2	Preparation CM4	CM4	Boitier endommagée	6	sertissage de 2 contacts +fourchette	chargement et déchargement
2025-03-21	Scrap	process	A Midi	PPC FLEX 1	Flex1	FLEX	Soudure self  écrasée	12	soudure électrique self sur lame	MEP condo  + Retournement boitier
2025-03-21	Scrap	process	A Midi	PPC FLEX	Flex2	FLEX	marquage décalé	4	Test électrique Flex 2	Chargement et déchargement boitier sur palette_Flex 2
2025-03-21	Scrap	process	A Midi	PPC FLEX 1	Flex1	FLEX	soudure condo écrasé	10	soudure électrique condo sur lame	Montage self / lame
2025-03-21	Scrap	process	A Midi	PPC FLEX 1	Flex1	FLEX	Lame déformée	8	Test électrique	Chargement - déchargement boitiersur palette
2025-03-21	Scrap	process	A Midi	PPC FLEX 1	Flex1	FLEX	Mauvais bouterollage lame balai	6	Bouterollage lame balai sur boitier	Mise en place condo axial
2025-03-21	Scrap	process	A Midi	PPC FLEX 1	Flex1	FLEX	Marquage décalé	5	Test électrique	Chargement - déchargement boitiersur palette
2025-03-21	Scrap	defaut	A Midi	ligne 2	Preparation CM4	CM4	Mauvaise soudure self tresse	22	soudure self tresse	controle préparation
2025-03-21	Scrap	defaut	A Midi	ligne 2	Preparation CM4	CM4	Mauvaise soudure self tresse	35	soudure self tresse	montage self/balais sur boitier
2025-03-21	Scrap	process	A Midi	ligne 2	Preparation CM4	CM4	PDM endommagé	6	sertissage automatique de 2 inserts+patte de masse	retournement
2025-03-21	Scrap	process	A Midi	PPC GEN2 C	GEN2 Continue	GEN2 CONTINUE	soudure PTH contact negative écrasé	1	soudure électrique contact GND et PTH	Controle Finale GENII C
2025-03-21	Scrap	process	A Midi	PPC GEN2 C	GEN2 Continue	GEN2 CONTINUE	Camera vision	3	Test électrique et controle caméra GENII C	Test électrique et controle caméra GENII C
2025-03-21	Scrap	process	A Midi	PPC GEN2 C	GEN2 Continue	GEN2 CONTINUE	Effort ressort non conforme	11	Test force GENIIC	Test force GENIIC
2025-03-21	Scrap	process	Nuit	PPC GEN2 C	GEN2 Continue	GEN2 CONTINUE	soudure condo/EMC écrasé	2	Soudure électrique de 2 pattes condo et contact EMC	Controle Finale GENII C
2025-03-21	Scrap	formation	Nuit	PPC GEN2 C	GEN2 Continue	GEN2 CONTINUE	soudure condo/terminaux décalé	1	soudure électrique condo 1 & terminal 1	Controle Finale GENII C
2025-03-21	Scrap	process	Nuit	PPC GEN2 C	GEN2 Continue	GEN2 CONTINUE	Effort ressort non conforme	19	Test force GENIIC	Test force GENIIC
2025-03-22	Scrap	process	Matin	B8	B8	B8	Court circuit	1	test électrique & impression galia	test électrique & impression galia
2025-03-22	Scrap	process	Matin	503.907	DCK	DCK	Guide écrasée	3	préparation guide ressort	montage balai guide
2025-03-22	Scrap	reglage	Matin	VM4 Tower	VM4 Partie A	VM4	Tour brûlée	7	robot  de brasage	robot  de brasage
2025-03-22	Scrap	reglage	Matin	PPC_F.P	F.P	FIRST PLASTIQUE	muret cassée	3	Poste de test électrique	Poste de test électrique
2025-03-22	Scrap	process	Matin	PPC GEN2	GEN2 Réversible	GEN2 REVERSIBLE	Data matrix NC	3	test electrique et controle caméra	test electrique et controle caméra
2025-03-22	Scrap	process	Matin	PPC GEN2	GEN2 Réversible	GEN2 REVERSIBLE	Boitier cassé	3	Botrollage	test electrique et controle caméra
2025-03-22	Scrap	process	Matin	PPC First plastique	F.P	FIRST PLASTIQUE	Self déformée	10	Verrouillage self / tresse	Déchargement palette
2025-03-22	Scrap	reglage	Matin	PPC VM4/HOARAIRE	VM4 AUTO I	VM4	soudure écrasé	3	soudure électrique 3éme self & PTH	soudure électrique 3éme self & PTH
2025-03-22	Scrap	reglage	Matin	PPC VM4/HOARAIRE	VM4 AUTO I	VM4	contact déformé	4	montage composants sur convoyeur	montage composants sur convoyeur
2025-03-22	Scrap	process	Matin	BACK UP ANTENNA K0	back up antenna	BACK UP ANTENNA	Fil débobiné	6	BUA controle vision	BUA Soudure étain des terminals
2025-03-22	Scrap	process	Matin	BACK UP ANTENNA K0	back up antenna	BACK UP ANTENNA	Exés d'étain sur fil	5	BUA controle vision	BUA Soudure étain des terminals
2025-03-22	Scrap	process	Matin	BACK UP ANTENNA K0	back up antenna	BACK UP ANTENNA	Fil coupée Wrapping  1	5	BUA controle vision	BUA Soudure étain des terminals
2025-03-22	Scrap	reglage	Matin	B8	B8	B8	soudure self écrasé	2	soudure self N°1	soudure self N°1
2025-03-22	Scrap	process	Matin	PPC FLEX 1	Flex1	FLEX	Balai mal serti	112	Assemblage balai / Lame ressort	Insertion lame/balai sur boitier
2025-03-22	Scrap	process	Matin	PPC FLEX 1	Flex1	FLEX	Balai cassé	25	Assemblage balai / Lame ressort	Insertion lame/balai sur boitier
2025-03-22	Scrap	process	Matin	PPC FLEX 1	Flex1	FLEX	Languette tordue	2	Chargement - déchargement boitiersur palette	Soudure à l'étain
2025-03-22	Scrap	process	Matin	PPC FLEX 1	Flex1	FLEX	Soudure self  écrasée	2	soudure électrique self sur lame	MEP condo  + Retournement boitier
2025-03-22	Scrap	process	Matin	PPC FLEX 1	Flex1	FLEX	Patte de masse déformée	1	Chargement - déchargement boitiersur palette	CF partie B
2025-03-22	Scrap	process	Matin	PPC FLEX 1	Flex1	FLEX	Marquage décalé	2	Test électrique	Test électrique
2025-03-22	Scrap	process	Matin	PPC FLEX 1	Flex1	FLEX	Boîtier cassé	2	Bouterollage lame balai sur boitier	Mise en place condo axial
2025-03-22	Scrap	process	Matin	PPC FLEX 1	Flex1	FLEX	Self déformée	1	soudure électrique self sur lame	CF partie B
2025-03-22	Scrap	process	Matin	PPC FLEX 1	Flex1	FLEX	Mauvaise marquage	1	Test électrique	Test électrique
